idKldi|kldi
L2|Badan Intelijen Negara
L21|Badan Pusat Statistik
L23|Badan Standardisasi Nasional
L25|Bendahara Umum Negara (Kementerian Keuangan)
L27|Dewan Perwakilan Daerah
L28|Dewan Perwakilan Rakyat
L29|Komisi Nasional Hak Asasi Manusia
L3|Badan Kepegawaian Negara
L30|Komisi Pemberantasan Korupsi
L31|Komisi Pemilihan Umum
L32|Komisi Pengawas Persaingan Usaha
L33|Komisi Yudisial Ri
L34|Lembaga Administrasi Negara
L36|Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah
L37|Lembaga Ketahanan Nasional
L39|Badan Siber dan Sandi Negara
L40|Mahkamah Agung
L41|Mahkamah Konstitusi Ri
L42|Majelis Permusyawaratan Rakyat
L43|Ombudsman Republik Indonesia
L44|Perpustakaan Nasional Republik Indonesia
L45|Pusat Pelaporan Dan Analisis Transaksi Keuangan
L46|Kejaksaan Republik Indonesia
L47|Kepolisian Negara Republik Indonesia
L51|Lembaga Penyiaran Publik Televisi Republik Indonesia
L52|Lembaga Penyiaran Radio Republik Indonesia
L57|Badan Pengawas Pemilihan Umum
L58|Badan Keamanan Laut
L6|Badan Informasi Geospasial
L7|Badan Meteorologi, Klimatologi Dan Geofisika
L8|Badan Narkotika Nasional
L9|Badan Nasional Penanggulangan Bencana
N1|Kab. Dompu
PT3|Universitas Airlangga
PT4|Universitas Diponegoro
PT5|Universitas Indonesia
PT6|Universitas Andalas
